Vernier Format 2
1.4.txt 11/18/113 3:19:56
Run 1
Time	Position	Velocity	Acceleration	
T	P	V	A	
s	m	m/s	m/s^2	

0.00	0.313	0.115	-0.296	
0.03	0.317	0.107	-0.389	
0.07	0.320	0.094	-0.524	
0.10	0.324	0.068	-0.562	
0.13	0.324	0.051	-0.453	
0.17	0.327	0.043	-0.452	
0.20	0.328	0.024	-0.521	
0.23	0.328	0.006	-0.538	
0.27	0.328	-0.015	-0.482	
0.30	0.327	-0.029	-0.368	
0.33	0.326	-0.033	-0.427	
0.37	0.326	-0.052	-0.597	
0.40	0.323	-0.081	-0.516	
0.43	0.320	-0.096	-0.173	
0.47	0.316	-0.091	0.166	
0.50	0.314	-0.085	0.518	
0.53	0.310	-0.061	0.852	
0.57	0.308	-0.014	0.645	
0.60	0.309	0.028	-0.700	
0.63	0.316	-0.070	-1.655	
0.67	0.304	-0.166	-0.344	
0.70	0.299	-0.106	1.430	
0.73	0.297	-0.022	1.963	
0.77	0.298	0.050	1.623	
0.80	0.301	0.090	1.003	
0.83	0.305	0.111	0.536	
0.87	0.308	0.121	0.214	
0.90	0.313	0.125	-0.090	
0.93	0.317	0.116	-0.379	
0.97	0.321	0.099	-0.600	
1.00	0.324	0.070	-0.640	
1.03	0.325	0.050	-0.504	
1.07	0.327	0.041	-0.473	
1.10	0.328	0.022	-0.542	
1.13	0.329	0.002	-0.558	
1.17	0.328	-0.018	-0.494	
1.20	0.327	-0.033	-0.382	
1.23	0.326	-0.038	-0.390	
1.27	0.325	-0.055	-0.481	
1.30	0.322	-0.079	-0.382	
1.33	0.319	-0.080	-0.284	
1.37	0.317	-0.092	-0.247	
1.40	0.313	-0.109	0.166	
1.43	0.309	-0.094	0.898	
1.47	0.306	-0.043	1.324	
1.50	0.305	0.026	0.746	
1.53	0.309	0.050	-0.896	
1.57	0.314	-0.066	-1.554	
1.60	0.303	-0.135	0.013	
1.63	0.300	-0.060	1.580	
1.67	0.299	0.020	1.827	
1.70	0.302	0.081	1.331	
1.73	0.305	0.108	0.684	
1.77	0.309	0.121	0.204	
1.80	0.314	0.119	-0.169	
1.83	0.318	0.107	-0.433	
1.87	0.321	0.090	-0.636	
1.90	0.324	0.059	-0.670	
1.93	0.325	0.038	-0.500	
1.97	0.326	0.029	-0.401	
2.00	0.327	0.015	-0.393	
2.03	0.327	0.001	-0.364	
2.07	0.327	-0.011	-0.324	
2.10	0.326	-0.015	-0.404	
2.13	0.326	-0.034	-0.553	
2.17	0.324	-0.061	-0.477	
2.20	0.322	-0.073	-0.234	
2.23	0.319	-0.068	-0.188	
2.27	0.318	-0.077	-0.316	
2.30	0.314	-0.099	-0.146	
2.33	0.310	-0.100	0.398	
2.37	0.307	-0.077	1.030	
2.40	0.304	-0.022	1.247	
2.43	0.305	0.041	0.440	
2.47	0.309	0.037	-1.037	
2.50	0.312	-0.076	-1.149	
2.53	0.301	-0.107	0.579	
2.57	0.300	-0.011	1.714	
2.60	0.302	0.057	1.481	
2.63	0.305	0.094	0.862	
2.67	0.309	0.108	0.320	
2.70	0.312	0.109	-0.010	
2.73	0.316	0.104	-0.227	
2.77	0.319	0.094	-0.430	
2.80	0.322	0.077	-0.625	
2.83	0.325	0.046	-0.619	
2.87	0.325	0.028	-0.387	
2.90	0.326	0.024	-0.243	
2.93	0.327	0.015	-0.224	
2.97	0.327	0.015	-0.393	
3.00	0.329	-0.005	-0.716	
3.03	0.327	-0.043	-0.751	
3.07	0.325	-0.064	-0.523	
3.10	0.323	-0.076	-0.302	
3.13	0.320	-0.084	-0.106	
3.17	0.317	-0.077	-0.080	
3.20	0.315	-0.084	-0.149	
3.23	0.311	-0.099	0.116	
3.27	0.308	-0.089	0.723	
3.30	0.305	-0.045	1.122	
3.33	0.305	-0.002	1.039	
3.37	0.303	0.055	0.128	
3.40	0.312	0.021	-1.026	
3.43	0.307	-0.078	-0.439	
3.47	0.301	-0.042	1.073	
3.50	0.303	0.041	1.392	
3.53	0.306	0.082	0.794	
3.57	0.310	0.084	0.302	
3.60	0.311	0.087	0.194	
3.63	0.315	0.100	0.059	
3.67	0.319	0.098	-0.238	
3.70	0.322	0.084	-0.528	
3.73	0.325	0.055	-0.603	
3.77	0.325	0.036	-0.438	
3.80	0.327	0.030	-0.349	
3.83	0.328	0.016	-0.360	
3.87	0.328	0.003	-0.355	
3.90	0.327	-0.002	-0.499	
3.93	0.328	-0.025	-0.738	
3.97	0.326	-0.061	-0.710	
4.00	0.324	-0.080	-0.447	
4.03	0.321	-0.090	-0.174	
4.07	0.317	-0.086	-0.053	
4.10	0.315	-0.089	-0.039	
4.13	0.311	-0.099	0.245	
4.17	0.307	-0.077	0.650	
4.20	0.306	-0.050	0.909	
4.23	0.304	-0.013	0.934	
4.27	0.305	0.030	0.399	
4.30	0.307	0.036	-0.599	
4.33	0.311	-0.046	-0.578	
4.37	0.301	-0.054	0.797	
4.40	0.303	0.039	1.403	
4.43	0.306	0.081	0.876	
4.47	0.310	0.089	0.395	
4.50	0.312	0.095	0.182	
4.53	0.316	0.105	-0.059	
4.57	0.320	0.096	-0.400	
4.60	0.323	0.071	-0.535	
4.63	0.324	0.053	-0.469	
4.67	0.326	0.044	-0.478	
4.70	0.327	0.023	-0.498	
4.73	0.328	0.006	-0.414	
4.77	0.328	-0.005	-0.340	
4.80	0.327	-0.010	-0.446	
4.83	0.328	-0.031	-0.648	
4.87	0.325	-0.063	-0.564	
4.90	0.323	-0.077	-0.248	
4.93	0.320	-0.072	-0.098	
4.97	0.318	-0.077	-0.102	
5.00	0.315	-0.089	0.136	
5.03	0.311	-0.071	0.486	
5.07	0.310	-0.053	0.754	
5.10	0.307	-0.022	0.921	
5.13	0.308	0.022	0.579	
5.17	0.309	0.048	-0.530	
5.20	0.315	-0.020	-1.307	
5.23	0.309	-0.105	-0.289	
