Vernier Format 2
1.3.txt 11/18/113 3:19:8
Run 1
Time	Position	Velocity	Acceleration	
T	P	V	A	
s	m	m/s	m/s^2	

0.00	0.316	0.188	-0.584	
0.03	0.323	0.168	-0.594	
0.07	0.328	0.150	-0.665	
0.10	0.333	0.132	-0.922	
0.13	0.337	0.092	-1.255	
0.17	0.340	0.039	-1.312	
0.20	0.339	-0.006	-1.066	
0.23	0.339	-0.032	-0.821	
0.27	0.337	-0.051	-0.827	
0.30	0.336	-0.083	-0.937	
0.33	0.332	-0.123	-0.787	
0.37	0.327	-0.139	-0.521	
0.40	0.322	-0.156	-0.254	
0.43	0.316	-0.159	0.102	
0.47	0.311	-0.149	0.433	
0.50	0.306	-0.129	0.721	
0.53	0.303	-0.096	0.861	
0.57	0.300	-0.076	1.031	
0.60	0.296	-0.023	0.987	
0.63	0.298	0.021	0.156	
0.67	0.300	-0.014	-0.518	
0.70	0.298	-0.062	0.129	
0.73	0.293	-0.029	1.429	
0.77	0.294	0.066	1.897	
0.80	0.299	0.126	1.500	
0.83	0.303	0.164	0.980	
0.87	0.310	0.193	0.369	
0.90	0.317	0.191	-0.272	
0.93	0.324	0.166	-0.659	
0.97	0.328	0.140	-0.833	
1.00	0.333	0.115	-1.066	
1.03	0.337	0.065	-1.134	
1.07	0.337	0.028	-0.901	
1.10	0.338	0.009	-0.772	
1.13	0.337	-0.013	-0.904	
1.17	0.338	-0.050	-1.091	
1.20	0.334	-0.096	-1.004	
1.23	0.330	-0.125	-0.663	
1.27	0.326	-0.136	-0.384	
1.30	0.322	-0.148	-0.164	
1.33	0.315	-0.150	0.134	
1.37	0.311	-0.141	0.487	
1.40	0.306	-0.119	0.855	
1.43	0.303	-0.075	0.932	
1.47	0.301	-0.046	0.621	
1.50	0.300	-0.027	0.110	
1.53	0.300	-0.035	-0.380	
1.57	0.299	-0.080	-0.047	
1.60	0.293	-0.069	1.128	
1.63	0.292	0.014	1.814	
1.67	0.295	0.079	1.713	
1.70	0.297	0.131	1.371	
1.73	0.304	0.176	0.806	
1.77	0.310	0.188	0.165	
1.80	0.317	0.183	-0.355	
1.83	0.323	0.156	-0.626	
1.87	0.327	0.135	-0.692	
1.90	0.332	0.114	-0.823	
1.93	0.335	0.081	-0.961	
1.97	0.337	0.047	-1.035	
2.00	0.338	0.011	-1.063	
2.03	0.338	-0.025	-1.007	
2.07	0.336	-0.059	-0.876	
2.10	0.334	-0.087	-0.680	
2.13	0.330	-0.100	-0.590	
2.17	0.328	-0.122	-0.571	
2.20	0.322	-0.149	-0.253	
2.23	0.316	-0.142	0.182	
2.27	0.313	-0.133	0.523	
2.30	0.307	-0.108	0.839	
2.33	0.305	-0.070	0.872	
2.37	0.303	-0.040	0.520	
2.40	0.302	-0.011	-0.425	
2.43	0.305	-0.075	-1.045	
2.47	0.298	-0.146	0.112	
2.50	0.291	-0.080	1.684	
2.53	0.292	0.011	2.098	
2.57	0.293	0.078	1.848	
2.60	0.297	0.138	1.343	
2.63	0.303	0.170	0.746	
2.67	0.309	0.185	0.216	
2.70	0.315	0.183	-0.247	
2.73	0.321	0.168	-0.634	
2.77	0.327	0.133	-0.807	
2.80	0.330	0.106	-0.762	
2.83	0.334	0.087	-0.817	
2.87	0.336	0.055	-0.962	
2.90	0.338	0.020	-1.037	
2.93	0.338	-0.017	-1.023	
2.97	0.336	-0.050	-0.917	
3.00	0.334	-0.079	-0.759	
3.03	0.331	-0.102	-0.582	
3.07	0.327	-0.114	-0.499	
3.10	0.324	-0.133	-0.442	
3.13	0.318	-0.154	-0.074	
3.17	0.312	-0.143	0.460	
3.20	0.309	-0.124	0.986	
3.23	0.303	-0.070	1.171	
3.27	0.304	-0.020	0.522	
3.30	0.303	-0.011	-0.697	
3.33	0.306	-0.085	-1.266	
3.37	0.297	-0.163	0.037	
3.40	0.290	-0.095	1.752	
3.43	0.291	0.002	2.214	
3.47	0.291	0.074	1.929	
3.50	0.296	0.133	1.389	
3.53	0.301	0.166	0.841	
3.57	0.307	0.187	0.352	
3.60	0.314	0.191	-0.148	
3.63	0.320	0.177	-0.596	
3.67	0.326	0.142	-0.791	
3.70	0.329	0.116	-0.748	
3.73	0.334	0.097	-0.810	
3.77	0.336	0.066	-0.965	
3.80	0.338	0.030	-1.057	
3.83	0.338	-0.007	-1.070	
3.87	0.338	-0.043	-0.989	
3.90	0.335	-0.076	-0.825	
3.93	0.332	-0.100	-0.621	
3.97	0.328	-0.111	-0.554	
4.00	0.325	-0.134	-0.551	
4.03	0.320	-0.160	-0.238	
4.07	0.314	-0.152	0.184	
4.10	0.310	-0.145	0.564	
4.13	0.303	-0.117	0.940	
4.17	0.301	-0.072	0.917	
4.20	0.299	-0.041	0.429	
4.23	0.299	-0.029	-0.351	
4.27	0.300	-0.088	-0.393	
4.30	0.292	-0.102	0.854	
4.33	0.289	-0.024	1.963	
4.37	0.290	0.063	2.126	
4.40	0.294	0.135	1.647	
4.43	0.300	0.176	0.966	
4.47	0.306	0.196	0.350	
4.50	0.314	0.198	-0.195	
4.53	0.320	0.181	-0.614	
4.57	0.326	0.149	-0.806	
4.60	0.330	0.123	-0.862	
4.63	0.334	0.098	-1.028	
4.67	0.337	0.051	-1.094	
4.70	0.337	0.014	-0.896	
4.73	0.338	-0.007	-0.741	
4.77	0.337	-0.026	-0.807	
4.80	0.336	-0.058	-0.949	
4.83	0.333	-0.098	-0.875	
4.87	0.329	-0.118	-0.722	
4.90	0.326	-0.143	-0.604	
4.93	0.320	-0.167	-0.262	
4.97	0.313	-0.162	0.208	
5.00	0.309	-0.151	0.614	
5.03	0.303	-0.124	1.047	
5.07	0.300	-0.074	1.160	
5.10	0.298	-0.030	0.736	
5.13	0.298	0.003	-0.345	
5.17	0.302	-0.071	-0.822	
5.20	0.292	-0.120	0.566	
5.23	0.289	-0.035	2.067	
