Vernier Format 2
0.7.txt 1/28/2019 19:37:15
Run 1
Time	Position	Velocity	Acceleration	
T	P	V	A	
s	m	m/s	m/s^2	

0.00	0.492	-0.003	0.055	
0.03	0.492	-0.001	0.040	
0.07	0.492	0.000	0.030	
0.10	0.492	0.001	0.034	
0.13	0.492	0.002	0.034	
0.17	0.492	0.004	0.012	
0.20	0.492	0.003	-0.006	
0.23	0.492	0.003	-0.002	
0.27	0.492	0.003	0.008	
0.30	0.492	0.003	0.021	
0.33	0.493	0.005	0.022	
0.37	0.493	0.005	0.012	
0.40	0.493	0.005	0.008	
0.43	0.493	0.005	0.011	
0.47	0.493	0.006	0.018	
0.50	0.493	0.007	0.011	
0.53	0.494	0.007	-0.012	
0.57	0.494	0.006	-0.022	
0.60	0.494	0.005	-0.021	
0.63	0.494	0.005	-0.023	
0.67	0.494	0.003	-0.017	
0.70	0.494	0.003	-0.005	
0.73	0.495	0.004	-0.015	
0.77	0.495	0.002	-0.034	
0.80	0.495	0.001	-0.031	
0.83	0.495	0.000	-0.023	
0.87	0.495	-0.000	-0.025	
0.90	0.495	-0.001	-0.036	
0.93	0.495	-0.004	-0.028	
0.97	0.494	-0.004	-0.005	
1.00	0.494	-0.002	-0.041	
1.03	0.494	-0.006	-0.074	
1.07	0.494	-0.009	-0.044	
1.10	0.494	-0.010	-0.003	
1.13	0.493	-0.008	0.014	
1.17	0.493	-0.008	0.006	
1.20	0.493	-0.008	-0.007	
1.23	0.493	-0.008	-0.021	
1.27	0.492	-0.010	-0.021	
1.30	0.492	-0.010	-0.006	
1.33	0.492	-0.010	0.010	
1.37	0.491	-0.010	0.029	
1.40	0.491	-0.008	0.034	
1.43	0.491	-0.006	0.016	
1.47	0.490	-0.007	0.010	
1.50	0.490	-0.007	0.031	
1.53	0.490	-0.005	0.053	
1.57	0.490	-0.003	0.060	
1.60	0.490	-0.001	0.054	
1.63	0.490	0.001	0.054	
1.67	0.490	0.003	0.061	
1.70	0.490	0.005	0.058	
1.73	0.490	0.007	0.043	
1.77	0.491	0.008	0.032	
1.80	0.491	0.008	0.038	
1.83	0.491	0.010	0.041	
1.87	0.491	0.012	0.023	
1.90	0.492	0.012	-0.003	
1.93	0.492	0.011	-0.006	
1.97	0.493	0.011	0.012	
2.00	0.493	0.012	0.018	
2.03	0.494	0.013	0.010	
2.07	0.494	0.013	0.003	
2.10	0.494	0.013	-0.004	
2.13	0.495	0.013	-0.016	
2.17	0.495	0.012	-0.038	
2.20	0.495	0.010	-0.060	
2.23	0.496	0.008	-0.068	
2.27	0.496	0.005	-0.065	
2.30	0.496	0.003	-0.054	
2.33	0.496	0.002	-0.051	
2.37	0.496	0.000	-0.054	
2.40	0.496	-0.002	-0.050	
2.43	0.496	-0.003	-0.050	
2.47	0.496	-0.005	-0.055	
2.50	0.496	-0.007	-0.054	
2.53	0.495	-0.008	-0.059	
2.57	0.495	-0.011	-0.066	
2.60	0.495	-0.014	-0.039	
2.63	0.494	-0.014	0.005	
2.67	0.494	-0.013	0.023	
2.70	0.494	-0.011	-0.013	
2.73	0.493	-0.014	-0.044	
2.77	0.493	-0.015	-0.035	
2.80	0.492	-0.016	-0.028	
2.83	0.492	-0.017	-0.008	
2.87	0.491	-0.017	0.026	
2.90	0.490	-0.015	0.053	
2.93	0.490	-0.013	0.064	
2.97	0.489	-0.011	0.064	
3.00	0.489	-0.009	0.069	
3.03	0.489	-0.006	0.066	
3.07	0.489	-0.004	0.043	
3.10	0.489	-0.004	0.043	
3.13	0.489	-0.002	0.066	
3.17	0.488	0.001	0.069	
3.20	0.489	0.003	0.065	
3.23	0.489	0.005	0.069	
3.27	0.489	0.008	0.070	
3.30	0.489	0.010	0.065	
3.33	0.490	0.012	0.054	
3.37	0.490	0.013	0.049	
3.40	0.491	0.015	0.046	
3.43	0.491	0.017	0.028	
3.47	0.492	0.017	0.008	
3.50	0.492	0.017	0.011	
3.53	0.493	0.017	0.019	
3.57	0.493	0.019	-0.001	
3.60	0.494	0.018	-0.025	
3.63	0.495	0.017	-0.029	
3.67	0.495	0.017	-0.045	
3.70	0.496	0.014	-0.073	
3.73	0.496	0.010	-0.061	
3.77	0.496	0.010	-0.039	
3.80	0.497	0.009	-0.051	
3.83	0.497	0.006	-0.059	
3.87	0.497	0.005	-0.061	
3.90	0.497	0.002	-0.072	
3.93	0.498	-0.000	-0.080	
3.97	0.497	-0.003	-0.083	
4.00	0.497	-0.006	-0.066	
4.03	0.497	-0.008	-0.044	
4.07	0.497	-0.008	-0.048	
4.10	0.496	-0.010	-0.063	
4.13	0.496	-0.013	-0.075	
4.17	0.495	-0.016	-0.081	
4.20	0.495	-0.018	-0.075	
4.23	0.494	-0.022	-0.039	
4.27	0.494	-0.022	0.015	
4.30	0.493	-0.019	0.035	
4.33	0.492	-0.018	0.029	
4.37	0.492	-0.018	0.042	
4.40	0.491	-0.015	0.040	
4.43	0.491	-0.015	0.024	
4.47	0.490	-0.015	0.040	
4.50	0.490	-0.013	0.062	
4.53	0.489	-0.010	0.078	
4.57	0.489	-0.007	0.083	
4.60	0.489	-0.004	0.066	
4.63	0.489	-0.003	0.044	
4.67	0.488	-0.002	0.048	
4.70	0.489	0.000	0.063	
4.73	0.488	0.003	0.072	
4.77	0.489	0.005	0.076	
4.80	0.489	0.008	0.076	
4.83	0.489	0.010	0.073	
4.87	0.489	0.013	0.066	
4.90	0.490	0.015	0.053	
4.93	0.490	0.016	0.046	
4.97	0.491	0.018	0.039	
5.00	0.492	0.019	0.016	
5.03	0.493	0.019	0.005	
5.07	0.493	0.019	0.015	
5.10	0.494	0.020	0.013	
5.13	0.494	0.020	-0.009	
5.17	0.495	0.020	-0.041	
5.20	0.496	0.017	-0.067	
5.23	0.496	0.014	-0.065	
5.27	0.496	0.013	-0.054	
5.30	0.497	0.012	-0.066	
