Vernier Format 2
.3.txt 1/28/2019 20:17:47
Run 1
Time	Position	Velocity	Acceleration	
T	P	V	A	
s	m	m/s	m/s^2	

0.00	0.499	-0.003	0.074	
0.03	0.499	-0.001	0.101	
0.07	0.499	0.002	0.149	
0.10	0.499	0.007	0.234	
0.13	0.499	0.023	0.164	
0.17	0.501	0.025	-0.086	
0.20	0.501	0.011	-0.183	
0.23	0.501	0.007	-0.115	
0.27	0.502	0.005	-0.061	
0.30	0.502	0.005	-0.070	
0.33	0.502	0.002	-0.134	
0.37	0.502	-0.002	-0.222	
0.40	0.502	-0.018	-0.149	
0.43	0.500	-0.020	0.125	
0.47	0.500	-0.004	0.234	
0.50	0.500	0.003	0.119	
0.53	0.501	0.003	0.014	
0.57	0.501	0.001	-0.001	
0.60	0.501	0.001	0.033	
0.63	0.501	0.004	0.055	
0.67	0.501	0.008	-0.005	
0.70	0.501	0.004	-0.071	
0.73	0.501	0.001	-0.064	
0.77	0.501	-0.002	-0.025	
0.80	0.501	-0.001	0.022	
0.83	0.501	0.001	0.026	
0.87	0.501	0.002	-0.009	
0.90	0.501	0.000	-0.036	
0.93	0.501	-0.001	-0.050	
0.97	0.501	-0.004	-0.038	
1.00	0.501	-0.004	-0.006	
1.03	0.501	-0.003	0.001	
1.07	0.501	-0.003	-0.020	
1.10	0.501	-0.005	-0.038	
1.13	0.500	-0.006	-0.042	
1.17	0.501	-0.009	-0.015	
1.20	0.500	-0.008	0.039	
1.23	0.500	-0.004	0.048	
1.27	0.500	-0.004	0.018	
1.30	0.500	-0.004	0.009	
1.33	0.499	-0.004	0.026	
1.37	0.499	-0.002	0.019	
1.40	0.499	-0.002	-0.002	
1.43	0.499	-0.002	-0.017	
1.47	0.499	-0.005	0.005	
1.50	0.499	-0.002	0.047	
1.53	0.499	0.001	0.033	
1.57	0.499	0.000	0.007	
1.60	0.499	0.000	0.002	
1.63	0.499	0.000	0.008	
1.67	0.499	0.001	0.018	
1.70	0.499	0.002	0.012	
1.73	0.499	0.002	-0.007	
1.77	0.499	0.001	-0.006	
1.80	0.499	0.001	0.017	
1.83	0.499	0.002	0.034	
1.87	0.499	0.003	0.044	
1.90	0.499	0.005	0.050	
1.93	0.500	0.007	0.041	
1.97	0.500	0.008	0.046	
2.00	0.500	0.009	0.063	
2.03	0.500	0.012	0.065	
2.07	0.501	0.020	-0.087	
2.10	0.502	0.005	-0.213	
2.13	0.501	-0.005	-0.068	
2.17	0.501	0.003	0.048	
2.20	0.501	0.003	0.045	
2.23	0.502	0.005	0.033	
2.27	0.502	0.006	-0.003	
2.30	0.502	0.004	-0.015	
2.33	0.502	0.005	-0.013	
2.37	0.502	0.004	-0.026	
2.40	0.502	0.002	-0.014	
2.43	0.502	0.003	0.003	
2.47	0.502	0.004	-0.016	
2.50	0.503	0.002	-0.043	
2.53	0.503	-0.001	-0.037	
2.57	0.503	-0.001	-0.026	
2.60	0.503	-0.001	-0.042	
2.63	0.503	-0.004	-0.042	
2.67	0.502	-0.005	-0.023	
2.70	0.502	-0.005	-0.011	
2.73	0.502	-0.005	-0.002	
2.77	0.502	-0.006	0.031	
2.80	0.502	-0.005	0.117	
2.83	0.501	-0.000	0.230	
2.87	0.501	0.017	0.148	
2.90	0.503	0.018	-0.142	
2.93	0.503	0.000	-0.245	
2.97	0.503	-0.006	-0.144	
3.00	0.502	-0.008	-0.061	
3.03	0.502	-0.008	-0.046	
3.07	0.502	-0.009	-0.099	
3.10	0.502	-0.012	-0.185	
3.13	0.502	-0.026	-0.122	
3.17	0.499	-0.027	0.125	
3.20	0.499	-0.013	0.236	
3.23	0.499	-0.005	0.167	
3.27	0.499	-0.002	0.089	
3.30	0.499	-0.001	0.045	
3.33	0.499	0.000	0.033	
3.37	0.499	0.001	0.063	
3.40	0.499	0.004	0.104	
3.43	0.499	0.007	0.143	
3.47	0.499	0.018	0.052	
3.50	0.501	0.009	-0.018	
3.53	0.499	0.011	0.060	
3.57	0.501	0.021	-0.029	
3.60	0.502	0.010	-0.127	
3.63	0.502	0.006	-0.068	
3.67	0.502	0.006	-0.026	
3.70	0.502	0.005	-0.013	
3.73	0.502	0.005	-0.010	
3.77	0.502	0.005	-0.017	
3.80	0.502	0.004	-0.030	
3.83	0.503	0.003	-0.034	
3.87	0.503	0.001	-0.015	
3.90	0.503	0.002	-0.005	
3.93	0.503	0.002	-0.016	
3.97	0.503	0.001	-0.020	
4.00	0.503	0.000	-0.015	
4.03	0.503	-0.000	-0.015	
4.07	0.503	-0.001	-0.023	
4.10	0.503	-0.002	-0.022	
4.13	0.503	-0.002	-0.011	
4.17	0.503	-0.003	-0.004	
4.20	0.502	-0.003	-0.002	
4.23	0.503	-0.003	-0.004	
4.27	0.502	-0.003	-0.007	
4.30	0.502	-0.003	-0.021	
4.33	0.502	-0.005	-0.017	
4.37	0.502	-0.005	-0.006	
4.40	0.502	-0.004	-0.027	
4.43	0.502	-0.004	-0.116	
4.47	0.502	-0.011	-0.220	
4.50	0.501	-0.025	-0.133	
4.53	0.500	-0.026	0.113	
4.57	0.499	-0.011	0.201	
4.60	0.499	-0.007	0.126	
4.63	0.499	-0.005	0.067	
4.67	0.499	-0.003	0.031	
4.70	0.499	-0.003	0.013	
4.73	0.499	-0.003	0.008	
4.77	0.499	-0.002	0.012	
4.80	0.499	-0.002	0.022	
4.83	0.498	-0.000	0.023	
4.87	0.499	-0.000	0.015	
4.90	0.498	0.000	0.015	
4.93	0.499	0.001	0.023	
4.97	0.498	0.002	0.023	
5.00	0.499	0.002	0.016	
5.03	0.499	0.003	0.031	
5.07	0.499	0.003	0.084	
5.10	0.499	0.006	0.174	
5.13	0.499	0.016	0.207	
5.17	0.500	0.026	0.070	
5.20	0.501	0.023	-0.133	
5.23	0.502	0.011	-0.171	
5.27	0.502	0.008	-0.092	
