380.20	0.019	
381.00	0.019	
381.80	0.019	
382.70	0.019	
383.50	0.019	
384.30	0.019	
385.20	0.019	
386.00	0.019	
386.80	0.019	
387.60	0.019	
388.50	0.019	
389.30	0.020	
390.10	0.020	
391.00	0.021	
391.80	0.022	
392.60	0.022	
393.50	0.023	
394.30	0.023	
395.10	0.023	
395.90	0.023	
396.80	0.023	
397.60	0.023	
398.40	0.023	
399.30	0.023	
400.10	0.022	
400.90	0.022	
401.80	0.022	
402.60	0.023	
403.40	0.023	
404.20	0.022	
405.10	0.023	
405.90	0.022	
406.70	0.023	
407.60	0.022	
408.40	0.023	
409.20	0.023	
410.10	0.024	
410.90	0.023	
411.70	0.023	
412.50	0.023	
413.40	0.023	
414.20	0.022	
415.00	0.022	
415.90	0.023	
416.70	0.023	
417.50	0.023	
418.40	0.022	
419.20	0.023	
420.00	0.023	
420.80	0.024	
421.70	0.026	
422.50	0.029	
423.30	0.032	
424.20	0.034	
425.00	0.035	
425.80	0.034	
426.70	0.033	
427.50	0.033	
428.30	0.033	
429.10	0.033	
430.00	0.033	
430.80	0.032	
431.60	0.032	
432.50	0.033	
433.30	0.034	
434.10	0.035	
435.00	0.035	
435.80	0.037	
436.60	0.036	
437.40	0.038	
438.30	0.035	
439.10	0.035	
439.90	0.034	
440.80	0.032	
441.60	0.030	
442.40	0.027	
443.30	0.025	
444.10	0.023	
444.90	0.022	
445.70	0.022	
446.60	0.021	
447.40	0.021	
448.20	0.021	
449.10	0.020	
449.90	0.019	
450.70	0.019	
451.60	0.019	
452.40	0.019	
453.20	0.019	
454.00	0.019	
454.90	0.019	
455.70	0.019	
456.50	0.019	
457.40	0.019	
458.20	0.020	
459.00	0.019	
459.90	0.019	
460.70	0.019	
461.50	0.018	
462.30	0.018	
463.20	0.018	
464.00	0.019	
464.80	0.019	
465.70	0.019	
466.50	0.020	
467.30	0.019	
468.20	0.018	
469.00	0.018	
469.80	0.017	
470.60	0.018	
471.50	0.018	
472.30	0.019	
473.10	0.018	
474.00	0.018	
474.80	0.018	
475.60	0.019	
476.50	0.020	
477.30	0.019	
478.10	0.019	
478.90	0.018	
479.80	0.019	
480.60	0.019	
481.40	0.019	
482.30	0.019	
483.10	0.018	
483.90	0.018	
484.80	0.018	
485.60	0.018	
486.40	0.019	
487.20	0.019	
488.10	0.019	
488.90	0.018	
489.70	0.018	
490.60	0.019	
491.40	0.018	
492.20	0.018	
493.10	0.018	
493.90	0.019	
494.70	0.019	
495.50	0.018	
496.40	0.018	
497.20	0.018	
498.00	0.018	
498.90	0.018	
499.70	0.018	
500.50	0.018	
501.40	0.018	
502.20	0.017	
503.00	0.018	
503.80	0.018	
504.70	0.018	
505.50	0.018	
506.30	0.018	
507.20	0.018	
508.00	0.018	
508.80	0.018	
509.70	0.018	
510.50	0.018	
511.30	0.019	
512.20	0.018	
513.00	0.019	
513.80	0.019	
514.60	0.019	
515.40	0.019	
516.20	0.019	
517.00	0.019	
517.80	0.019	
518.70	0.019	
519.50	0.019	
520.30	0.019	
521.10	0.019	
521.90	0.020	
522.70	0.019	
523.50	0.020	
524.30	0.019	
525.20	0.019	
526.00	0.019	
526.80	0.019	
527.60	0.020	
528.40	0.020	
529.20	0.020	
530.00	0.020	
530.80	0.020	
531.70	0.020	
532.50	0.020	
533.30	0.020	
534.10	0.021	
534.90	0.022	
535.70	0.023	
536.50	0.024	
537.30	0.025	
538.20	0.027	
539.00	0.031	
539.80	0.037	
540.60	0.055	
541.40	0.116	
542.20	0.258	
543.00	0.378	
543.80	0.385	
544.70	0.249	
545.50	0.112	
546.30	0.041	
547.10	0.028	
547.90	0.026	
548.70	0.025	
549.50	0.023	
550.40	0.023	
551.20	0.022	
552.00	0.022	
552.80	0.022	
553.60	0.021	
554.40	0.021	
555.20	0.021	
556.00	0.020	
556.90	0.020	
557.70	0.020	
558.50	0.020	
559.30	0.020	
560.10	0.020	
560.90	0.020	
561.70	0.020	
562.50	0.021	
563.40	0.021	
564.20	0.021	
565.00	0.021	
565.80	0.021	
566.60	0.021	
567.40	0.020	
568.20	0.021	
569.00	0.021	
569.90	0.022	
570.70	0.022	
571.50	0.023	
572.30	0.025	
573.10	0.029	
573.90	0.043	
574.70	0.077	
575.50	0.101	
576.40	0.115	
577.20	0.108	
578.00	0.091	
578.80	0.066	
579.60	0.038	
580.40	0.026	
581.20	0.022	
582.10	0.021	
582.90	0.021	
583.70	0.020	
584.50	0.020	
585.30	0.020	
586.10	0.020	
586.90	0.019	
587.70	0.020	
588.50	0.019	
589.20	0.019	
590.00	0.020	
590.70	0.020	
591.50	0.020	
592.20	0.020	
593.00	0.019	
593.70	0.019	
594.50	0.019	
595.20	0.018	
596.00	0.018	
596.70	0.018	
597.50	0.019	
598.20	0.019	
599.00	0.019	
599.70	0.018	
600.50	0.018	
601.20	0.019	
602.00	0.019	
602.70	0.020	
603.40	0.019	
604.20	0.019	
604.90	0.019	
605.70	0.019	
606.40	0.018	
607.20	0.017	
607.90	0.017	
608.70	0.018	
609.40	0.019	
610.20	0.018	
610.90	0.018	
611.70	0.018	
612.40	0.018	
613.20	0.018	
613.90	0.018	
614.70	0.018	
615.40	0.018	
616.20	0.018	
616.90	0.018	
617.70	0.018	
618.40	0.018	
619.10	0.018	
619.90	0.018	
620.60	0.018	
621.40	0.018	
622.10	0.018	
622.90	0.018	
623.60	0.018	
624.40	0.018	
625.10	0.018	
625.90	0.018	
626.60	0.018	
627.40	0.018	
628.10	0.017	
628.90	0.017	
629.60	0.017	
630.40	0.018	
631.10	0.018	
