Vernier Format 2
520g.txt 6/30/2018 4:51:45
Run 1
Time	Position	Velocity	Acceleration	
T	P	V	A	
s	m	m/s	m/s^2	

0.00	0.284	0.030	-1.163	
0.03	0.286	-0.004	-1.339	
0.07	0.285	-0.055	-1.472	
0.10	0.282	-0.112	-1.319	
0.13	0.277	-0.154	-0.812	
0.17	0.271	-0.171	-0.120	
0.20	0.265	-0.162	0.598	
0.23	0.260	-0.129	1.247	
0.27	0.256	-0.074	1.692	
0.30	0.255	-0.008	1.849	
0.33	0.255	0.057	1.741	
0.37	0.258	0.114	1.384	
0.40	0.263	0.155	0.806	
0.43	0.269	0.172	0.086	
0.47	0.276	0.162	-0.671	
0.50	0.281	0.125	-1.343	
0.53	0.285	0.067	-1.807	
0.57	0.286	-0.004	-1.953	
0.60	0.284	-0.073	-1.750	
0.63	0.280	-0.128	-1.274	
0.67	0.275	-0.162	-0.640	
0.70	0.269	-0.173	0.076	
0.73	0.263	-0.157	0.784	
0.77	0.258	-0.122	1.494	
0.80	0.253	-0.051	1.971	
0.83	0.255	0.027	1.892	
0.87	0.256	0.082	1.539	
0.90	0.260	0.130	1.104	
0.93	0.265	0.160	0.513	
0.97	0.271	0.167	-0.184	
1.00	0.277	0.149	-0.907	
1.03	0.282	0.104	-1.523	
1.07	0.285	0.040	-1.867	
1.10	0.285	-0.030	-1.870	
1.13	0.282	-0.092	-1.603	
1.17	0.278	-0.141	-1.138	
1.20	0.273	-0.171	-0.508	
1.23	0.267	-0.184	0.363	
1.27	0.259	-0.153	1.357	
1.30	0.255	-0.076	1.853	
1.33	0.255	-0.011	1.771	
1.37	0.255	0.041	1.603	
1.40	0.257	0.096	1.375	
1.43	0.261	0.139	0.939	
1.47	0.267	0.164	0.308	
1.50	0.273	0.163	-0.435	
1.53	0.278	0.133	-1.117	
1.57	0.282	0.083	-1.605	
1.60	0.284	0.020	-1.852	
1.63	0.284	-0.048	-1.801	
1.67	0.281	-0.109	-1.420	
1.70	0.276	-0.149	-0.809	
1.73	0.270	-0.165	-0.121	
1.77	0.264	-0.156	0.550	
1.80	0.259	-0.126	1.141	
1.83	0.256	-0.082	1.706	
1.87	0.252	-0.005	2.010	
1.90	0.255	0.072	1.722	
1.93	0.258	0.115	1.204	
1.97	0.263	0.150	0.675	
2.00	0.269	0.164	0.028	
2.03	0.275	0.153	-0.656	
2.07	0.280	0.119	-1.285	
2.10	0.283	0.062	-1.721	
2.13	0.284	-0.005	-1.834	
2.17	0.283	-0.068	-1.646	
2.20	0.279	-0.121	-1.223	
2.23	0.274	-0.154	-0.633	
2.27	0.268	-0.164	0.031	
2.30	0.263	-0.152	0.701	
2.33	0.258	-0.122	1.418	
2.37	0.253	-0.051	1.896	
2.40	0.255	0.025	1.786	
2.43	0.256	0.067	1.585	
2.47	0.258	0.130	1.315	
2.50	0.265	0.174	0.535	
2.53	0.271	0.167	-0.309	
2.57	0.277	0.145	-0.943	
2.60	0.281	0.102	-1.463	
2.63	0.284	0.042	-1.767	
2.67	0.284	-0.024	-1.795	
2.70	0.282	-0.085	-1.550	
2.73	0.278	-0.133	-1.080	
2.77	0.273	-0.162	-0.433	
2.80	0.267	-0.163	0.280	
2.83	0.262	-0.147	1.080	
2.87	0.256	-0.087	1.719	
2.90	0.256	-0.014	1.809	
2.93	0.255	0.040	1.621	
2.97	0.258	0.094	1.328	
3.00	0.262	0.133	0.876	
3.03	0.267	0.157	0.284	
3.07	0.273	0.156	-0.423	
3.10	0.279	0.128	-1.082	
3.13	0.282	0.078	-1.546	
3.17	0.284	0.017	-1.747	
3.20	0.283	-0.046	-1.678	
3.23	0.281	-0.101	-1.365	
3.27	0.276	-0.143	-0.826	
3.30	0.271	-0.161	-0.109	
3.33	0.265	-0.150	0.593	
3.37	0.260	-0.115	1.111	
3.40	0.257	-0.069	1.440	
3.43	0.256	-0.023	1.772	
3.47	0.254	0.054	1.878	
3.50	0.259	0.124	1.358	
3.53	0.264	0.150	0.621	
3.57	0.270	0.160	-0.033	
3.60	0.275	0.148	-0.667	
3.63	0.280	0.115	-1.241	
3.67	0.283	0.061	-1.649	
3.70	0.284	-0.003	-1.787	
3.73	0.283	-0.067	-1.628	
3.77	0.280	-0.118	-1.223	
3.80	0.275	-0.152	-0.668	
3.83	0.269	-0.164	-0.010	
3.87	0.263	-0.158	0.795	
3.90	0.257	-0.114	1.616	
3.93	0.255	-0.034	1.929	
3.97	0.256	0.032	1.691	
4.00	0.257	0.079	1.348	
4.03	0.261	0.121	0.975	
4.07	0.266	0.148	0.491	
4.10	0.271	0.158	-0.139	
4.13	0.277	0.141	-0.834	
4.17	0.281	0.099	-1.400	
4.20	0.284	0.040	-1.709	
4.23	0.284	-0.022	-1.736	
4.27	0.282	-0.082	-1.498	
4.30	0.278	-0.129	-1.001	
4.33	0.273	-0.154	-0.336	
4.37	0.267	-0.152	0.357	
4.40	0.262	-0.127	0.956	
4.43	0.258	-0.085	1.397	
4.47	0.256	-0.029	1.637	
4.50	0.256	0.031	1.626	
4.53	0.259	0.086	1.364	
4.57	0.263	0.127	0.908	
4.60	0.268	0.150	0.313	
4.63	0.273	0.151	-0.370	
4.67	0.278	0.125	-1.019	
4.70	0.282	0.078	-1.489	
4.73	0.284	0.019	-1.710	
4.77	0.283	-0.043	-1.655	
4.80	0.281	-0.099	-1.326	
4.83	0.276	-0.138	-0.786	
4.87	0.271	-0.154	-0.126	
4.90	0.265	-0.146	0.535	
4.93	0.261	-0.116	1.101	
4.97	0.257	-0.068	1.500	
5.00	0.256	-0.010	1.668	
5.03	0.257	0.050	1.588	
5.07	0.259	0.103	1.247	
5.10	0.264	0.139	0.684	
5.13	0.269	0.151	0.031	
5.17	0.275	0.140	-0.607	
5.20	0.279	0.108	-1.157	
5.23	0.282	0.058	-1.527	
5.27	0.283	0.000	-1.657	
