Vernier Format 2
540g.txt 6/30/2018 4:52:29
Run 1
Time	Position	Velocity	Acceleration	
T	P	V	A	
s	m	m/s	m/s^2	

0.00	0.276	-0.259	1.415	
0.03	0.266	-0.215	1.494	
0.07	0.260	-0.156	1.517	
0.10	0.257	-0.116	1.589	
0.13	0.252	-0.064	1.988	
0.17	0.251	0.027	2.080	
0.20	0.255	0.089	1.752	
0.23	0.257	0.143	1.331	
0.27	0.264	0.188	0.582	
0.30	0.271	0.186	-0.279	
0.33	0.277	0.164	-0.995	
0.37	0.282	0.117	-1.593	
0.40	0.286	0.051	-1.955	
0.43	0.286	-0.022	-2.015	
0.47	0.284	-0.091	-1.767	
0.50	0.280	-0.148	-1.215	
0.53	0.273	-0.178	-0.458	
0.57	0.267	-0.178	0.299	
0.60	0.261	-0.154	0.942	
0.63	0.256	-0.110	1.437	
0.67	0.253	-0.059	1.879	
0.70	0.251	0.015	2.213	
0.73	0.254	0.107	1.964	
0.77	0.260	0.164	1.145	
0.80	0.266	0.182	0.290	
0.83	0.272	0.179	-0.450	
0.87	0.278	0.152	-1.129	
0.90	0.283	0.101	-1.679	
0.93	0.286	0.032	-1.971	
0.97	0.285	-0.039	-1.945	
1.00	0.283	-0.106	-1.611	
1.03	0.278	-0.154	-1.031	
1.07	0.272	-0.177	-0.322	
1.10	0.265	-0.176	0.434	
1.13	0.260	-0.153	1.280	
1.17	0.254	-0.084	1.882	
1.20	0.254	-0.008	1.901	
1.23	0.254	0.047	1.721	
1.27	0.257	0.107	1.448	
1.30	0.262	0.151	0.938	
1.33	0.267	0.174	0.259	
1.37	0.274	0.171	-0.509	
1.40	0.280	0.138	-1.203	
1.43	0.284	0.085	-1.701	
1.47	0.286	0.018	-1.941	
1.50	0.285	-0.053	-1.869	
1.53	0.282	-0.115	-1.480	
1.57	0.277	-0.158	-0.861	
1.60	0.271	-0.176	-0.133	
1.63	0.264	-0.166	0.591	
1.67	0.259	-0.132	1.197	
1.70	0.255	-0.087	1.763	
1.73	0.252	-0.009	2.091	
1.77	0.255	0.072	1.828	
1.80	0.258	0.119	1.304	
1.83	0.263	0.157	0.743	
1.87	0.269	0.173	0.057	
1.90	0.275	0.162	-0.664	
1.93	0.280	0.126	-1.301	
1.97	0.284	0.071	-1.756	
2.00	0.286	0.002	-1.936	
2.03	0.284	-0.068	-1.767	
2.07	0.281	-0.124	-1.308	
2.10	0.275	-0.160	-0.669	
2.13	0.269	-0.171	0.067	
2.17	0.263	-0.154	0.763	
2.20	0.258	-0.116	1.326	
2.23	0.255	-0.061	1.706	
2.27	0.254	0.004	1.846	
2.30	0.255	0.069	1.713	
2.33	0.259	0.127	1.265	
2.37	0.264	0.159	0.621	
2.40	0.270	0.169	-0.069	
2.43	0.276	0.155	-0.779	
2.47	0.281	0.114	-1.393	
2.50	0.284	0.057	-1.793	
2.53	0.285	-0.013	-1.911	
2.57	0.283	-0.080	-1.679	
2.60	0.280	-0.132	-1.166	
2.63	0.274	-0.162	-0.495	
2.67	0.268	-0.166	0.214	
2.70	0.262	-0.147	0.883	
2.73	0.258	-0.104	1.426	
2.77	0.255	-0.045	1.734	
2.80	0.255	0.018	1.792	
2.83	0.256	0.081	1.597	
2.87	0.260	0.132	1.135	
2.90	0.266	0.162	0.479	
2.93	0.272	0.165	-0.237	
2.97	0.277	0.145	-0.917	
3.00	0.282	0.101	-1.472	
3.03	0.285	0.041	-1.798	
3.07	0.285	-0.027	-1.829	
3.10	0.283	-0.090	-1.544	
3.13	0.278	-0.136	-1.023	
3.17	0.273	-0.161	-0.378	
3.20	0.267	-0.163	0.333	
3.23	0.261	-0.138	1.002	
3.27	0.257	-0.091	1.492	
3.30	0.255	-0.033	1.762	
3.33	0.255	0.033	1.781	
3.37	0.257	0.095	1.496	
3.40	0.262	0.139	0.973	
3.43	0.267	0.163	0.323	
3.47	0.273	0.162	-0.384	
3.50	0.279	0.136	-1.043	
3.53	0.283	0.089	-1.558	
3.57	0.285	0.026	-1.835	
3.60	0.285	-0.043	-1.794	
3.63	0.282	-0.103	-1.441	
3.67	0.277	-0.144	-0.881	
3.70	0.272	-0.164	-0.203	
3.73	0.266	-0.159	0.513	
3.77	0.260	-0.127	1.128	
3.80	0.257	-0.078	1.552	
3.83	0.255	-0.018	1.759	
3.87	0.255	0.046	1.705	
3.90	0.258	0.103	1.372	
3.93	0.263	0.143	0.833	
3.97	0.268	0.161	0.186	
4.00	0.274	0.157	-0.505	
4.03	0.279	0.127	-1.154	
4.07	0.283	0.075	-1.622	
4.10	0.285	0.011	-1.807	
4.13	0.284	-0.053	-1.696	
4.17	0.281	-0.109	-1.324	
4.20	0.276	-0.148	-0.731	
4.23	0.270	-0.160	-0.039	
4.27	0.265	-0.149	0.618	
4.30	0.260	-0.117	1.190	
4.33	0.256	-0.065	1.589	
4.37	0.255	-0.004	1.723	
4.40	0.256	0.056	1.605	
4.43	0.259	0.108	1.275	
4.47	0.264	0.147	0.738	
4.50	0.270	0.162	0.056	
4.53	0.275	0.151	-0.641	
4.57	0.280	0.117	-1.257	
4.60	0.284	0.062	-1.683	
4.63	0.285	-0.004	-1.805	
4.67	0.283	-0.067	-1.615	
4.70	0.280	-0.118	-1.177	
4.73	0.275	-0.149	-0.589	
4.77	0.269	-0.159	0.081	
4.80	0.264	-0.144	0.754	
4.83	0.259	-0.105	1.290	
4.87	0.256	-0.052	1.605	
4.90	0.256	0.008	1.693	
4.93	0.257	0.067	1.554	
4.97	0.260	0.118	1.170	
5.00	0.265	0.150	0.586	
5.03	0.271	0.160	-0.103	
5.07	0.276	0.144	-0.798	
5.10	0.281	0.103	-1.370	
5.13	0.284	0.045	-1.689	
5.17	0.284	-0.017	-1.731	
5.20	0.283	-0.076	-1.530	
5.23	0.279	-0.125	-1.090	
5.27	0.274	-0.154	-0.476	
