Vernier Format 2
320g.txt 6/30/2018 4:43:44
Run 1
Time	Position	Velocity	Acceleration	
T	P	V	A	
s	m	m/s	m/s^2	

0.00	0.279	0.085	-1.223	
0.03	0.282	0.050	-1.439	
0.07	0.284	-0.003	-1.683	
0.10	0.282	-0.068	-1.743	
0.13	0.279	-0.128	-1.477	
0.17	0.274	-0.180	-0.760	
0.20	0.266	-0.191	0.310	
0.23	0.260	-0.153	1.212	
0.27	0.255	-0.098	1.743	
0.30	0.253	-0.030	1.986	
0.33	0.253	0.043	1.895	
0.37	0.256	0.105	1.514	
0.40	0.261	0.148	0.962	
0.43	0.266	0.171	0.277	
0.47	0.272	0.174	-0.628	
0.50	0.279	0.132	-1.559	
0.53	0.282	0.056	-2.061	
0.57	0.283	-0.019	-2.109	
0.60	0.281	-0.092	-1.828	
0.63	0.276	-0.147	-1.257	
0.67	0.271	-0.186	-0.341	
0.70	0.263	-0.177	0.762	
0.73	0.257	-0.124	1.521	
0.77	0.254	-0.063	1.854	
0.80	0.253	0.004	1.961	
0.83	0.255	0.073	1.832	
0.87	0.258	0.133	1.421	
0.90	0.264	0.180	0.624	
0.93	0.271	0.185	-0.471	
0.97	0.277	0.142	-1.369	
1.00	0.281	0.080	-1.842	
1.03	0.283	0.012	-2.016	
1.07	0.282	-0.060	-1.925	
1.10	0.279	-0.124	-1.529	
1.13	0.274	-0.174	-0.737	
1.17	0.266	-0.182	0.298	
1.20	0.260	-0.147	1.140	
1.23	0.256	-0.095	1.654	
1.27	0.253	-0.031	1.904	
1.30	0.254	0.039	1.862	
1.33	0.256	0.102	1.520	
1.37	0.261	0.147	0.939	
1.40	0.267	0.166	0.250	
1.43	0.272	0.169	-0.603	
1.47	0.279	0.130	-1.540	
1.50	0.282	0.055	-2.120	
1.53	0.283	-0.024	-2.239	
1.57	0.281	-0.109	-1.832	
1.60	0.275	-0.161	-0.927	
1.63	0.269	-0.169	-0.011	
1.67	0.263	-0.156	0.730	
1.70	0.258	-0.118	1.350	
1.73	0.254	-0.060	1.739	
1.77	0.254	0.006	1.828	
1.80	0.255	0.069	1.669	
1.83	0.258	0.123	1.277	
1.87	0.264	0.158	0.686	
1.90	0.269	0.177	-0.169	
1.93	0.277	0.154	-1.220	
1.97	0.281	0.087	-1.989	
2.00	0.283	0.008	-2.257	
2.03	0.282	-0.079	-1.957	
2.07	0.276	-0.138	-1.162	
2.10	0.271	-0.156	-0.335	
2.13	0.266	-0.154	0.342	
2.17	0.261	-0.131	0.931	
2.20	0.256	-0.090	1.423	
2.23	0.254	-0.032	1.748	
2.27	0.254	0.034	1.791	
2.30	0.256	0.095	1.536	
2.33	0.261	0.144	0.999	
2.37	0.267	0.167	0.258	
2.40	0.272	0.166	-0.627	
2.43	0.279	0.126	-1.502	
2.47	0.282	0.054	-2.001	
2.50	0.282	-0.020	-2.049	
2.53	0.280	-0.089	-1.797	
2.57	0.276	-0.152	-1.138	
2.60	0.269	-0.177	-0.129	
2.63	0.263	-0.155	0.754	
2.67	0.258	-0.117	1.347	
2.70	0.255	-0.061	1.728	
2.73	0.254	0.006	1.829	
2.77	0.256	0.069	1.642	
2.80	0.259	0.120	1.229	
2.83	0.264	0.156	0.593	
2.87	0.270	0.170	-0.329	
2.90	0.277	0.139	-1.329	
2.93	0.280	0.063	-1.812	
2.97	0.280	-0.002	-1.705	
3.00	0.279	-0.045	-1.608	
3.03	0.278	-0.109	-1.403	
3.07	0.272	-0.158	-0.662	
3.10	0.266	-0.158	0.226	
3.13	0.261	-0.135	0.941	
3.17	0.257	-0.090	1.465	
3.20	0.254	-0.032	1.756	
3.23	0.254	0.034	1.791	
3.27	0.257	0.096	1.501	
3.30	0.261	0.140	0.956	
3.33	0.266	0.170	0.114	
3.37	0.274	0.148	-0.743	
3.40	0.276	0.109	-1.300	
3.43	0.281	0.062	-1.805	
3.47	0.282	-0.018	-2.019	
3.50	0.280	-0.085	-1.785	
3.53	0.276	-0.148	-1.150	
3.57	0.269	-0.174	-0.150	
3.60	0.263	-0.153	0.723	
3.63	0.258	-0.116	1.313	
3.67	0.255	-0.061	1.692	
3.70	0.254	0.005	1.774	
3.73	0.255	0.065	1.569	
3.77	0.258	0.114	1.164	
3.80	0.263	0.147	0.588	
3.83	0.269	0.155	-0.106	
3.87	0.274	0.146	-0.964	
3.90	0.280	0.096	-1.857	
3.93	0.282	0.003	-2.146	
3.97	0.279	-0.070	-1.726	
4.00	0.276	-0.114	-1.135	
4.03	0.271	-0.146	-0.489	
4.07	0.266	-0.150	0.238	
4.10	0.261	-0.128	0.900	
4.13	0.257	-0.085	1.386	
4.17	0.255	-0.029	1.637	
4.20	0.255	0.030	1.648	
4.23	0.257	0.087	1.416	
4.27	0.261	0.131	0.951	
4.30	0.266	0.154	0.315	
4.33	0.271	0.158	-0.522	
4.37	0.278	0.122	-1.393	
4.40	0.281	0.053	-1.890	
4.43	0.281	-0.017	-1.954	
4.47	0.279	-0.084	-1.701	
4.50	0.276	-0.141	-1.064	
4.53	0.269	-0.164	-0.142	
4.57	0.263	-0.146	0.674	
4.60	0.259	-0.111	1.231	
4.63	0.256	-0.060	1.592	
4.67	0.255	0.000	1.742	
4.70	0.256	0.065	1.602	
4.73	0.259	0.115	1.181	
4.77	0.264	0.145	0.625	
4.80	0.269	0.164	-0.151	
4.83	0.276	0.141	-1.069	
4.87	0.280	0.081	-1.657	
4.90	0.281	0.018	-1.842	
4.93	0.281	-0.046	-1.785	
4.97	0.278	-0.106	-1.465	
5.00	0.274	-0.156	-0.749	
5.03	0.267	-0.166	0.243	
5.07	0.261	-0.133	1.031	
5.10	0.257	-0.085	1.451	
5.13	0.256	-0.030	1.630	
5.17	0.255	0.028	1.621	
5.20	0.257	0.083	1.401	
5.23	0.261	0.127	0.952	
5.27	0.266	0.157	0.204	
