Vernier Format 2
120g.txt 6/30/2018 4:37:42
Run 1
Time	Position	Velocity	Acceleration	
T	P	V	A	
s	m	m/s	m/s^2	

0.00	0.274	0.105	-1.109	
0.03	0.279	0.074	-1.354	
0.07	0.281	0.023	-1.624	
0.10	0.281	-0.041	-1.687	
0.13	0.278	-0.102	-1.337	
0.17	0.273	-0.142	-0.591	
0.20	0.268	-0.146	0.316	
0.23	0.263	-0.117	1.115	
0.27	0.259	-0.064	1.653	
0.30	0.258	0.002	1.856	
0.33	0.259	0.071	1.655	
0.37	0.263	0.124	1.055	
0.40	0.268	0.147	0.225	
0.43	0.274	0.139	-0.640	
0.47	0.278	0.101	-1.370	
0.50	0.281	0.040	-1.793	
0.53	0.281	-0.031	-1.793	
0.57	0.279	-0.090	-1.407	
0.60	0.275	-0.131	-0.756	
0.63	0.269	-0.146	0.066	
0.67	0.264	-0.127	0.891	
0.70	0.260	-0.081	1.515	
0.73	0.258	-0.017	1.804	
0.77	0.259	0.050	1.710	
0.80	0.262	0.107	1.252	
0.83	0.267	0.141	0.504	
0.87	0.272	0.145	-0.388	
0.90	0.277	0.113	-1.196	
0.93	0.280	0.057	-1.717	
0.97	0.281	-0.012	-1.842	
1.00	0.280	-0.077	-1.545	
1.03	0.276	-0.125	-0.891	
1.07	0.270	-0.141	-0.078	
1.10	0.265	-0.129	0.702	
1.13	0.261	-0.091	1.347	
1.17	0.259	-0.031	1.712	
1.20	0.259	0.033	1.713	
1.23	0.261	0.092	1.358	
1.27	0.265	0.132	0.711	
1.30	0.271	0.145	-0.126	
1.33	0.276	0.125	-0.993	
1.37	0.280	0.072	-1.618	
1.40	0.281	0.005	-1.838	
1.43	0.280	-0.062	-1.642	
1.47	0.277	-0.114	-1.072	
1.50	0.272	-0.140	-0.265	
1.53	0.267	-0.132	0.547	
1.57	0.262	-0.098	1.190	
1.60	0.259	-0.046	1.599	
1.63	0.259	0.017	1.693	
1.67	0.261	0.076	1.433	
1.70	0.264	0.121	0.864	
1.73	0.269	0.139	0.093	
1.77	0.275	0.128	-0.717	
1.80	0.279	0.088	-1.398	
1.83	0.281	0.027	-1.790	
1.87	0.281	-0.043	-1.747	
1.90	0.278	-0.101	-1.283	
1.93	0.273	-0.136	-0.533	
1.97	0.268	-0.140	0.336	
2.00	0.263	-0.111	1.101	
2.03	0.260	-0.058	1.574	
2.07	0.259	0.004	1.691	
2.10	0.260	0.063	1.487	
2.13	0.263	0.110	0.999	
2.17	0.268	0.136	0.277	
2.20	0.273	0.131	-0.537	
2.23	0.278	0.096	-1.225	
2.27	0.280	0.043	-1.664	
2.30	0.281	-0.023	-1.767	
2.33	0.279	-0.087	-1.430	
2.37	0.274	-0.129	-0.734	
2.40	0.269	-0.140	0.101	
2.43	0.264	-0.120	0.887	
2.47	0.261	-0.075	1.468	
2.50	0.259	-0.013	1.708	
2.53	0.260	0.049	1.572	
2.57	0.262	0.100	1.121	
2.60	0.267	0.130	0.439	
2.63	0.272	0.132	-0.347	
2.67	0.276	0.105	-1.072	
2.70	0.280	0.054	-1.562	
2.73	0.280	-0.009	-1.696	
2.77	0.279	-0.069	-1.461	
2.80	0.275	-0.114	-0.922	
2.83	0.271	-0.136	-0.171	
2.87	0.265	-0.127	0.634	
2.90	0.261	-0.090	1.295	
2.93	0.259	-0.033	1.672	
2.97	0.259	0.031	1.687	
3.00	0.261	0.090	1.323	
3.03	0.265	0.128	0.643	
3.07	0.271	0.137	-0.181	
3.10	0.275	0.114	-0.938	
3.13	0.279	0.068	-1.475	
3.17	0.280	0.007	-1.690	
3.20	0.279	-0.055	-1.526	
3.23	0.276	-0.103	-1.049	
3.27	0.272	-0.130	-0.366	
3.30	0.267	-0.131	0.424	
3.33	0.262	-0.100	1.123	
3.37	0.260	-0.048	1.559	
3.40	0.259	0.013	1.672	
3.43	0.261	0.072	1.440	
3.47	0.264	0.119	0.861	
3.50	0.269	0.136	0.064	
3.53	0.274	0.122	-0.721	
3.57	0.278	0.084	-1.349	
3.60	0.280	0.025	-1.694	
3.63	0.280	-0.041	-1.626	
3.67	0.277	-0.095	-1.168	
3.70	0.273	-0.124	-0.494	
3.73	0.268	-0.129	0.239	
3.77	0.264	-0.108	0.934	
3.80	0.260	-0.062	1.443	
3.83	0.259	-0.003	1.636	
3.87	0.260	0.057	1.484	
3.90	0.263	0.105	1.024	
3.93	0.268	0.131	0.338	
3.97	0.273	0.131	-0.467	
4.00	0.277	0.099	-1.218	
4.03	0.280	0.041	-1.669	
4.07	0.280	-0.025	-1.690	
4.10	0.278	-0.082	-1.323	
4.13	0.274	-0.120	-0.679	
4.17	0.269	-0.131	0.100	
4.20	0.265	-0.112	0.824	
4.23	0.261	-0.070	1.332	
4.27	0.260	-0.016	1.565	
4.30	0.260	0.043	1.486	
4.33	0.263	0.092	1.094	
4.37	0.267	0.121	0.479	
4.40	0.271	0.126	-0.242	
4.43	0.276	0.106	-0.966	
4.47	0.279	0.058	-1.516	
4.50	0.280	-0.006	-1.691	
4.53	0.279	-0.066	-1.460	
4.57	0.275	-0.112	-0.889	
4.60	0.271	-0.131	-0.117	
4.63	0.266	-0.120	0.666	
4.67	0.262	-0.081	1.255	
4.70	0.260	-0.028	1.537	
4.73	0.260	0.029	1.510	
4.77	0.262	0.081	1.190	
4.80	0.266	0.116	0.615	
4.83	0.270	0.125	-0.092	
4.87	0.275	0.109	-0.785	
4.90	0.278	0.069	-1.322	
4.93	0.280	0.014	-1.606	
4.97	0.280	-0.048	-1.540	
5.00	0.276	-0.100	-1.080	
5.03	0.272	-0.127	-0.360	
5.07	0.267	-0.125	0.421	
5.10	0.263	-0.095	1.082	
5.13	0.260	-0.046	1.502	
5.17	0.260	0.014	1.593	
5.20	0.261	0.070	1.322	
5.23	0.265	0.109	0.777	
5.27	0.269	0.126	0.080	
