Vernier Format 2
140g.txt 6/30/2018 4:38:25
Run 1
Time	Position	Velocity	Acceleration	
T	P	V	A	
s	m	m/s	m/s^2	

0.00	0.257	0.092	0.634	
0.03	0.260	0.113	0.592	
0.07	0.264	0.138	0.389	
0.10	0.269	0.151	-0.141	
0.13	0.275	0.135	-0.874	
0.17	0.279	0.090	-1.513	
0.20	0.281	0.025	-1.845	
0.23	0.281	-0.044	-1.793	
0.27	0.278	-0.105	-1.369	
0.30	0.273	-0.144	-0.614	
0.33	0.268	-0.149	0.279	
0.37	0.263	-0.123	1.086	
0.40	0.259	-0.071	1.659	
0.43	0.257	-0.003	1.876	
0.47	0.259	0.065	1.701	
0.50	0.262	0.120	1.160	
0.53	0.267	0.150	0.346	
0.57	0.273	0.145	-0.536	
0.60	0.278	0.111	-1.292	
0.63	0.281	0.052	-1.773	
0.67	0.282	-0.018	-1.855	
0.70	0.280	-0.084	-1.522	
0.73	0.275	-0.128	-0.880	
0.77	0.270	-0.146	-0.087	
0.80	0.265	-0.135	0.740	
0.83	0.261	-0.093	1.421	
0.87	0.258	-0.031	1.781	
0.90	0.258	0.036	1.772	
0.93	0.261	0.096	1.402	
0.97	0.265	0.138	0.704	
1.00	0.271	0.149	-0.195	
1.03	0.276	0.124	-1.040	
1.07	0.280	0.073	-1.633	
1.10	0.281	0.005	-1.860	
1.13	0.280	-0.063	-1.660	
1.17	0.277	-0.116	-1.098	
1.20	0.272	-0.143	-0.305	
1.23	0.266	-0.136	0.511	
1.27	0.262	-0.104	1.171	
1.30	0.259	-0.053	1.616	
1.33	0.258	0.012	1.758	
1.37	0.260	0.074	1.541	
1.40	0.263	0.123	0.994	
1.43	0.269	0.147	0.204	
1.47	0.274	0.140	-0.678	
1.50	0.279	0.099	-1.448	
1.53	0.281	0.033	-1.852	
1.57	0.281	-0.037	-1.804	
1.60	0.279	-0.097	-1.374	
1.63	0.274	-0.136	-0.653	
1.67	0.269	-0.145	0.208	
1.70	0.264	-0.120	0.980	
1.73	0.260	-0.072	1.497	
1.77	0.258	-0.012	1.711	
1.80	0.259	0.050	1.600	
1.83	0.262	0.103	1.173	
1.87	0.267	0.136	0.478	
1.90	0.272	0.139	-0.347	
1.93	0.277	0.110	-1.089	
1.97	0.280	0.060	-1.613	
2.00	0.281	-0.005	-1.828	
2.03	0.280	-0.074	-1.608	
2.07	0.276	-0.124	-0.982	
2.10	0.271	-0.145	-0.151	
2.13	0.265	-0.134	0.693	
2.17	0.261	-0.094	1.370	
2.20	0.258	-0.033	1.709	
2.23	0.259	0.030	1.673	
2.27	0.261	0.086	1.327	
2.30	0.265	0.126	0.719	
2.33	0.270	0.139	-0.057	
2.37	0.275	0.122	-0.839	
2.40	0.279	0.078	-1.438	
2.43	0.281	0.017	-1.715	
2.47	0.280	-0.046	-1.637	
2.50	0.277	-0.100	-1.224	
2.53	0.273	-0.136	-0.521	
2.57	0.267	-0.139	0.315	
2.60	0.263	-0.112	1.064	
2.63	0.259	-0.062	1.579	
2.67	0.258	0.002	1.771	
2.70	0.259	0.067	1.567	
2.73	0.263	0.117	0.994	
2.77	0.268	0.138	0.231	
2.80	0.273	0.133	-0.559	
2.83	0.277	0.099	-1.239	
2.87	0.280	0.043	-1.651	
2.90	0.281	-0.022	-1.693	
2.93	0.279	-0.079	-1.388	
2.97	0.275	-0.122	-0.809	
3.00	0.270	-0.139	-0.023	
3.03	0.265	-0.123	0.771	
3.07	0.261	-0.082	1.363	
3.10	0.259	-0.025	1.674	
3.13	0.259	0.038	1.653	
3.17	0.262	0.095	1.271	
3.20	0.266	0.132	0.589	
3.23	0.271	0.138	-0.246	
3.27	0.276	0.113	-1.022	
3.30	0.279	0.064	-1.558	
3.33	0.281	0.000	-1.742	
3.37	0.279	-0.063	-1.531	
3.40	0.276	-0.112	-0.975	
3.43	0.271	-0.133	-0.237	
3.47	0.266	-0.127	0.502	
3.50	0.262	-0.097	1.141	
3.53	0.259	-0.046	1.578	
3.57	0.259	0.017	1.697	
3.60	0.261	0.078	1.437	
3.63	0.264	0.121	0.858	
3.67	0.269	0.141	0.074	
3.70	0.275	0.127	-0.740	
3.73	0.279	0.086	-1.372	
3.77	0.281	0.028	-1.706	
3.80	0.281	-0.038	-1.671	
3.83	0.278	-0.094	-1.257	
3.87	0.274	-0.129	-0.557	
3.90	0.269	-0.135	0.267	
3.93	0.264	-0.108	0.983	
3.97	0.261	-0.061	1.430	
4.00	0.259	-0.006	1.603	
4.03	0.260	0.053	1.482	
4.07	0.263	0.102	1.049	
4.10	0.268	0.130	0.374	
4.13	0.273	0.129	-0.390	
4.17	0.277	0.102	-1.098	
4.20	0.280	0.050	-1.598	
4.23	0.281	-0.015	-1.713	
4.27	0.279	-0.075	-1.421	
4.30	0.275	-0.118	-0.823	
4.33	0.270	-0.135	-0.057	
4.37	0.265	-0.122	0.712	
4.40	0.262	-0.082	1.298	
4.43	0.260	-0.027	1.573	
4.47	0.260	0.032	1.557	
4.50	0.262	0.085	1.219	
4.53	0.266	0.120	0.616	
4.57	0.271	0.130	-0.120	
4.60	0.275	0.111	-0.826	
4.63	0.279	0.070	-1.353	
4.67	0.280	0.015	-1.625	
4.70	0.280	-0.047	-1.574	
4.73	0.277	-0.102	-1.125	
4.77	0.272	-0.131	-0.378	
4.80	0.267	-0.128	0.424	
4.83	0.263	-0.098	1.088	
4.87	0.260	-0.049	1.504	
4.90	0.259	0.011	1.596	
4.93	0.261	0.067	1.342	
4.97	0.264	0.107	0.845	
5.00	0.269	0.128	0.182	
5.03	0.274	0.122	-0.563	
5.07	0.278	0.087	-1.201	
5.10	0.280	0.034	-1.565	
5.13	0.280	-0.026	-1.587	
5.17	0.278	-0.081	-1.273	
5.20	0.274	-0.119	-0.668	
5.23	0.269	-0.130	0.085	
5.27	0.265	-0.112	0.791	
