Vernier Format 2
189.6g.txt 6/30/2018 4:39:11
Run 1
Time	Position	Velocity	Acceleration	
T	P	V	A	
s	m	m/s	m/s^2	

0.00	0.258	0.134	0.492	
0.03	0.262	0.152	0.326	
0.07	0.268	0.169	-0.072	
0.10	0.274	0.160	-0.780	
0.13	0.280	0.117	-1.513	
0.17	0.283	0.050	-1.969	
0.20	0.283	-0.026	-2.020	
0.23	0.281	-0.095	-1.655	
0.27	0.276	-0.146	-0.936	
0.30	0.270	-0.164	-0.011	
0.33	0.264	-0.145	0.858	
0.37	0.260	-0.100	1.491	
0.40	0.257	-0.039	1.857	
0.43	0.257	0.033	1.885	
0.47	0.260	0.098	1.536	
0.50	0.264	0.143	0.885	
0.53	0.270	0.162	0.033	
0.57	0.276	0.148	-0.878	
0.60	0.281	0.100	-1.645	
0.63	0.283	0.027	-2.033	
0.67	0.283	-0.049	-1.944	
0.70	0.280	-0.113	-1.438	
0.73	0.274	-0.153	-0.635	
0.77	0.268	-0.159	0.278	
0.80	0.263	-0.131	1.090	
0.83	0.259	-0.079	1.651	
0.87	0.257	-0.012	1.882	
0.90	0.258	0.056	1.759	
0.93	0.261	0.114	1.298	
0.97	0.266	0.150	0.566	
1.00	0.272	0.155	-0.283	
1.03	0.277	0.130	-1.092	
1.07	0.281	0.076	-1.693	
1.10	0.283	0.008	-1.962	
1.13	0.282	-0.065	-1.830	
1.17	0.278	-0.126	-1.270	
1.20	0.273	-0.158	-0.419	
1.23	0.267	-0.155	0.491	
1.27	0.262	-0.122	1.277	
1.30	0.258	-0.064	1.820	
1.33	0.257	0.011	1.968	
1.37	0.259	0.080	1.660	
1.40	0.263	0.129	1.041	
1.43	0.268	0.153	0.262	
1.47	0.274	0.149	-0.581	
1.50	0.279	0.113	-1.340	
1.53	0.282	0.052	-1.823	
1.57	0.283	-0.020	-1.903	
1.60	0.281	-0.086	-1.589	
1.63	0.277	-0.134	-0.973	
1.67	0.271	-0.156	-0.157	
1.70	0.265	-0.145	0.696	
1.73	0.261	-0.106	1.410	
1.77	0.258	-0.043	1.834	
1.80	0.257	0.027	1.867	
1.83	0.260	0.090	1.546	
1.87	0.264	0.139	0.903	
1.90	0.270	0.157	0.028	
1.93	0.275	0.141	-0.850	
1.97	0.280	0.096	-1.546	
2.00	0.282	0.029	-1.911	
2.03	0.282	-0.044	-1.840	
2.07	0.279	-0.104	-1.382	
2.10	0.274	-0.143	-0.649	
2.13	0.269	-0.150	0.183	
2.17	0.264	-0.128	0.925	
2.20	0.259	-0.084	1.497	
2.23	0.257	-0.021	1.802	
2.27	0.258	0.046	1.751	
2.30	0.261	0.105	1.353	
2.33	0.265	0.143	0.674	
2.37	0.271	0.154	-0.168	
2.40	0.277	0.133	-1.025	
2.43	0.281	0.080	-1.674	
2.47	0.282	0.010	-1.933	
2.50	0.281	-0.061	-1.758	
2.53	0.278	-0.117	-1.217	
2.57	0.273	-0.148	-0.430	
2.60	0.267	-0.148	0.443	
2.63	0.262	-0.114	1.168	
2.67	0.259	-0.062	1.621	
2.70	0.258	0.001	1.781	
2.73	0.259	0.066	1.592	
2.77	0.263	0.116	1.082	
2.80	0.268	0.143	0.367	
2.83	0.273	0.143	-0.425	
2.87	0.278	0.114	-1.159	
2.90	0.281	0.060	-1.692	
2.93	0.282	-0.008	-1.885	
2.97	0.281	-0.077	-1.647	
3.00	0.277	-0.129	-1.023	
3.03	0.271	-0.151	-0.184	
3.07	0.266	-0.141	0.658	
3.10	0.261	-0.103	1.350	
3.13	0.258	-0.043	1.752	
3.17	0.258	0.024	1.770	
3.20	0.260	0.084	1.448	
3.23	0.264	0.127	0.873	
3.27	0.269	0.147	0.116	
3.30	0.275	0.137	-0.692	
3.33	0.279	0.097	-1.363	
3.37	0.282	0.037	-1.736	
3.40	0.282	-0.028	-1.769	
3.43	0.280	-0.089	-1.464	
3.47	0.275	-0.135	-0.812	
3.50	0.270	-0.149	0.030	
3.53	0.264	-0.131	0.831	
3.57	0.260	-0.088	1.444	
3.60	0.258	-0.028	1.773	
3.63	0.258	0.039	1.752	
3.67	0.261	0.100	1.342	
3.70	0.266	0.137	0.637	
3.73	0.271	0.144	-0.157	
3.77	0.276	0.125	-0.913	
3.80	0.280	0.080	-1.512	
3.83	0.282	0.016	-1.803	
3.87	0.281	-0.052	-1.695	
3.90	0.278	-0.107	-1.213	
3.93	0.273	-0.138	-0.506	
3.97	0.268	-0.142	0.256	
4.00	0.263	-0.120	0.973	
4.03	0.259	-0.073	1.523	
4.07	0.258	-0.010	1.764	
4.10	0.259	0.054	1.647	
4.13	0.262	0.108	1.214	
4.17	0.266	0.144	0.486	
4.20	0.272	0.145	-0.399	
4.23	0.277	0.112	-1.141	
4.27	0.280	0.062	-1.631	
4.30	0.281	-0.005	-1.795	
4.33	0.280	-0.069	-1.548	
4.37	0.276	-0.116	-0.982	
4.40	0.271	-0.139	-0.236	
4.43	0.266	-0.133	0.533	
4.47	0.262	-0.099	1.153	
4.50	0.259	-0.050	1.543	
4.53	0.258	0.010	1.665	
4.57	0.260	0.070	1.470	
4.60	0.263	0.117	0.970	
4.63	0.268	0.141	0.238	
4.67	0.274	0.134	-0.553	
4.70	0.278	0.101	-1.237	
4.73	0.281	0.046	-1.688	
4.77	0.281	-0.022	-1.756	
4.80	0.279	-0.083	-1.423	
4.83	0.275	-0.125	-0.790	
4.87	0.270	-0.140	0.001	
4.90	0.265	-0.125	0.776	
4.93	0.261	-0.082	1.352	
4.97	0.259	-0.026	1.615	
5.00	0.259	0.033	1.587	
5.03	0.262	0.088	1.266	
5.07	0.266	0.125	0.672	
5.10	0.271	0.136	-0.055	
5.13	0.275	0.121	-0.771	
5.17	0.279	0.081	-1.347	
5.20	0.281	0.025	-1.674	
5.23	0.281	-0.039	-1.672	
5.27	0.279	-0.098	-1.283	
