Vernier Format 2
220g.txt 6/30/2018 4:40:31
Run 1
Time	Position	Velocity	Acceleration	
T	P	V	A	
s	m	m/s	m/s^2	

0.00	0.267	-0.120	0.881	
0.03	0.263	-0.096	1.121	
0.07	0.259	-0.055	1.426	
0.10	0.258	0.002	1.613	
0.13	0.260	0.062	1.476	
0.17	0.263	0.111	0.985	
0.20	0.268	0.134	0.267	
0.23	0.273	0.129	-0.483	
0.27	0.277	0.098	-1.106	
0.30	0.280	0.049	-1.511	
0.33	0.281	-0.010	-1.622	
0.37	0.279	-0.068	-1.386	
0.40	0.276	-0.111	-0.846	
0.43	0.271	-0.128	-0.178	
0.47	0.267	-0.122	0.458	
0.50	0.262	-0.096	1.031	
0.53	0.259	-0.049	1.446	
0.57	0.259	0.009	1.567	
0.60	0.260	0.064	1.369	
0.63	0.263	0.107	0.913	
0.67	0.268	0.131	0.246	
0.70	0.273	0.125	-0.496	
0.73	0.277	0.094	-1.104	
0.77	0.280	0.045	-1.478	
0.80	0.280	-0.012	-1.564	
0.83	0.279	-0.067	-1.335	
0.87	0.275	-0.110	-0.809	
0.90	0.271	-0.126	-0.108	
0.93	0.266	-0.115	0.540	
0.97	0.263	-0.085	1.022	
1.00	0.260	-0.043	1.350	
1.03	0.259	0.011	1.450	
1.07	0.261	0.061	1.284	
1.10	0.264	0.102	0.891	
1.13	0.268	0.127	0.276	
1.17	0.273	0.123	-0.440	
1.20	0.277	0.095	-1.069	
1.23	0.280	0.046	-1.482	
1.27	0.280	-0.013	-1.568	
1.30	0.279	-0.068	-1.311	
1.33	0.275	-0.106	-0.814	
1.37	0.271	-0.127	-0.153	
1.40	0.266	-0.118	0.548	
1.43	0.263	-0.085	1.088	
1.47	0.260	-0.039	1.384	
1.50	0.260	0.014	1.421	
1.53	0.261	0.063	1.205	
1.57	0.264	0.100	0.768	
1.60	0.268	0.118	0.175	
1.63	0.273	0.112	-0.444	
1.67	0.276	0.085	-0.962	
1.70	0.279	0.045	-1.340	
1.73	0.280	-0.009	-1.497	
1.77	0.278	-0.065	-1.303	
1.80	0.275	-0.105	-0.792	
1.83	0.271	-0.121	-0.136	
1.87	0.266	-0.113	0.503	
1.90	0.263	-0.085	1.036	
1.93	0.260	-0.040	1.382	
1.97	0.260	0.015	1.436	
2.00	0.261	0.064	1.198	
2.03	0.264	0.101	0.741	
2.07	0.269	0.118	0.136	
2.10	0.273	0.110	-0.486	
2.13	0.276	0.082	-0.991	
2.17	0.279	0.039	-1.314	
2.20	0.279	-0.012	-1.387	
2.23	0.278	-0.062	-1.161	
2.27	0.275	-0.095	-0.728	
2.30	0.271	-0.113	-0.183	
2.33	0.267	-0.110	0.438	
2.37	0.263	-0.082	0.984	
2.40	0.261	-0.038	1.321	
2.43	0.260	0.013	1.403	
2.47	0.262	0.064	1.183	
2.50	0.265	0.100	0.689	
2.53	0.269	0.112	0.080	
2.57	0.273	0.104	-0.491	
2.60	0.276	0.077	-0.957	
2.63	0.279	0.036	-1.267	
2.67	0.279	-0.014	-1.334	
2.70	0.277	-0.062	-1.097	
2.73	0.275	-0.092	-0.665	
2.77	0.271	-0.108	-0.139	
2.80	0.267	-0.103	0.440	
2.83	0.263	-0.077	0.942	
2.87	0.261	-0.035	1.251	
2.90	0.261	0.014	1.310	
2.93	0.262	0.059	1.109	
2.97	0.265	0.092	0.715	
3.00	0.269	0.111	0.169	
3.03	0.273	0.106	-0.449	
3.07	0.277	0.079	-0.978	
3.10	0.279	0.035	-1.304	
3.13	0.279	-0.016	-1.355	
3.17	0.278	-0.062	-1.130	
3.20	0.275	-0.097	-0.678	
3.23	0.271	-0.112	-0.074	
3.27	0.267	-0.101	0.509	
3.30	0.263	-0.073	0.940	
3.33	0.261	-0.035	1.208	
3.37	0.261	-0.030	1.273	
3.40	0.262	0.057	1.094	
3.43	0.265	0.091	0.702	
3.47	0.269	0.108	0.166	
3.50	0.273	0.104	-0.426	
3.53	0.276	0.078	-0.951	
3.57	0.278	0.034	-1.264	
3.60	0.279	-0.014	-1.308	
3.63	0.277	-0.060	-1.098	
3.67	0.274	-0.093	-0.669	
3.70	0.271	-0.108	-0.092	
3.73	0.267	-0.100	0.515	
3.77	0.263	-0.069	0.967	
3.80	0.262	-0.029	1.187	
3.83	0.261	0.015	1.204	
3.87	0.263	0.057	1.004	
3.90	0.265	0.087	0.622	
3.93	0.269	0.102	0.119	
3.97	0.273	0.095	-0.410	
4.00	0.276	0.071	-0.843	
4.03	0.278	0.036	-1.150	
4.07	0.279	-0.010	-1.278	
4.10	0.277	-0.058	-1.109	
4.13	0.274	-0.092	-0.663	
4.17	0.270	-0.105	-0.091	
4.20	0.267	-0.097	0.483	
4.23	0.263	-0.070	0.951	
4.27	0.262	-0.028	1.197	
4.30	0.262	0.017	1.171	
4.33	0.263	0.055	0.944	
4.37	0.265	0.084	0.574	
4.40	0.269	0.096	0.106	
4.43	0.272	0.092	-0.394	
4.47	0.276	0.069	-0.835	
4.50	0.277	0.031	-1.095	
4.53	0.278	-0.009	-1.163	
4.57	0.277	-0.051	-1.036	
4.60	0.274	-0.086	-0.655	
4.63	0.270	-0.100	-0.115	
4.67	0.267	-0.093	0.428	
4.70	0.264	-0.069	0.876	
4.73	0.262	-0.030	1.141	
4.77	0.262	0.013	1.189	
4.80	0.263	0.055	1.010	
4.83	0.266	0.088	0.587	
4.87	0.269	0.098	0.047	
4.90	0.273	0.089	-0.452	
4.93	0.276	0.065	-0.843	
4.97	0.277	0.029	-1.074	
5.00	0.278	-0.012	-1.114	
5.03	0.276	-0.051	-0.952	
5.07	0.274	-0.081	-0.601	
5.10	0.271	-0.095	-0.119	
5.13	0.267	-0.089	0.378	
5.17	0.264	-0.067	0.793	
5.20	0.262	-0.033	1.072	
5.23	0.262	0.010	1.152	
5.27	0.263	0.051	0.997	
